MSA,Egyptian,lang
 إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني . وعندما عادت، وجدته قد غادر دون أن يودع. شعرت بالحيرة والقلق، فقد كانت تحمل له هديته المفضلة. بدأت تبحث عنه في كل أنحاء المبنى، تنادي اسمه بصوت عالٍ. وأخيرًا، وجدته في الحديقة ينظر إلى النجوم، فابتسمت وقدمت له الهدية. , هي فِ آخر القاعة. حجيبلك شوية منها دلوقتي. لو عايز حاجة تاني بس قوللي. ولما رجعت، لاقته مشي من غير ما يقولها سلام. حست بحيرة وقلق، كانت جايباله الهدية اللي بيحبها. بدأت تدور عليه في كل مكان في العمارة، بتنده عليه بصوت عالي. وأخيرًا، لاقته في الجنينة بيبص للنجوم، ابتسمت وادتله الهدية. ,Egyptian
" في أحد الأيام، كان هناك رجل يعمل في النجارة يسمى أحمد. كان دائمًا يسأل زبائنه ""هل تقومون بعمل تعديلات؟"" ليتأكد من رضاهم عن العمل. في إحدى المرات، أتى زبون طلب تعديل طاولة لتناسب تصميم منزله الجديد. أحمد عمل بجد على التعديل وفي النهاية، أبدى الزبون امتنانه لمهارة أحمد ودقته. "," في يوم من الأيام، كان فيه واحد نجار اسمه أحمد. دايمًا كان بيسأل زباينه ""هل تقومون بعمل تعديلات؟"" عشان يتأكد إنهم مبسوطين بالشغل. مرة جه زبون طلب يعدل في ترابيزة علشان تليق ببيته الجديد. أحمد شغل فيها بإجتهاد وفي الآخر، الزبون شكره جدًا على مهارته ودقته. ",Egyptian
 في أحد المطاعم الفاخرة، طلب أحمد وأسرته نريد مائدة بجانب النافذة ليتمتعوا بالمنظر الخلاب. بعد أن جلسوا، بدأت الأسرة بتقديم طلباتهم من قائمة الطعام. أثناء تناولهم الطعام، مرت مجموعة من الطيور الجميلة أمام النافذة، فأضافت جوًا من البهجة على وجبتهم. انتهوا من الأكل وشعروا بالرضا عن تجربتهم الرائعة في هذا المكان. , في واحد من المطاعم الشيك، أحمد وعيلته طلبوا نفسنا في ترابيزة جنب الشباك علشان يستمتعوا بالمنظر الحلو. لما قعدوا، العيلة بدأت تختار الأكل من المنيو. وهما بياكلوا، شوية عصافير حلوين عدوا قدام الشباك، وده زود الأكلة حلاوة. خلصوا أكل وحسوا بسعادة كبيرة من التجربة الجميلة اللي عاشوها هناك. ,Egyptian
 هناك، أمام بيت السائح تماما، وقف قط أسود ينظر إليه بفضول. عندما فتح السائح الباب، دخل القط دون تردد. وجد السائح نفسه يبتسم، فقد رأى في عيني القط قصة مغامرات لم تُروَ بعد. ومع مرور الأيام، أصبح القط رفيقه في كل رحلاته ومغامراته. , هناك، قدام بيت السائح بالظبط، وقف قط أسود بيبصله كده بفضول. لما السائح فتح الباب، القط دخل على طول من غير ما يتردد. السائح لقى نفسه بيضحك، شاف في عيون القط حكايات مغامرات محدش حكاها قبل كده. وبرضه مع مرور الأيام، القط بقى صاحبه في كل سفرياته ومغامراته. ,Egyptian
 لم أسمع بهذا العنوان من قبل بالقرب من هنا. سألت الناس في الحي عنه لكن لا أحد يعرفه. قررت البحث عنه في الخرائط القديمة بالمكتبة. وأخيراً، وجدت العنوان مخفياً في إحدى الكتب النادرة. , ما سمعتش بالعنوان ده قبل كده هنا حوالينا. سألت الناس في الحتة عنه بس محدش يعرف حاجة عنه. قررت أدور عليه في الخرايط القديمة اللي في المكتبة. وأخيراً، لقيت العنوان مستخبي في واحدة من الكتب النادرة. ,Egyptian
 استمر في السير في هذا الطريق حتى تجد صيدلية. عندما وصل إلى الصيدلية، اكتشف أنها مغلقة. شعر بالإحباط لكنه قرر أن ينتظر. بعد ساعة، فتح الصيدلي الباب واستطاع أن يشتري الدواء. , استمر في المشي على الطريق ده لحد ما تلاقي صيدلية. لما وصل للصيدلية، اكتشف إنها مقفولة. حس بالزعل بس قرر يستنى. وبعد ساعة، الصيدلي فتح وقدر يجيب الدوا. ,Egyptian
 في أحد أيام الربيع، لاحظت ليلى أن اللون الأخضر بدأ يظهر في كل مكان. قررت أن تشتري فستانًا جديدًا بنفس اللون لتواكب الموضة. وعندما ارتدته في الحفل، لفتت الأنظار إليها بجمالها. ومن ذلك اليوم، أصبح اللون الأخضر لونها المفضل في كل المواسم. , في يوم من الأيام في الربيع، ليلى لاحظت إن اللون الأخضر بقى منتشر حوالينا. قررت تجيب فستان جديد باللون ده علشان تلحق الموضة. ولما لبسته في الفرح، كل العيون اتجهت عليها وهي شكلها حلو أوي. ومن ساعتها والأخضر بقى اللون المفضل بتاعها في كل الفصول. ,Egyptian
 كان خالد يسافر كثيرًا بسبب طبيعة عمله في التجارة الدولية. في إحدى رحلاته، التقى بتاجر من بلد آخر وأصبحا صديقين. في حالتي، غالبًا ما يكون من أجل العمل ونادرًا ما يكون للاستمتاع. لكن هذه المرة، قرر خالد أن يأخذ يومًا للتجول واكتشاف المدينة مع صديقه الجديد. , خالد كان بيسافر كتير عشان شغله في التجارة الدولية. في مرة من المرات، قابل تاجر من بلد تاني وبقوا أصحاب. في حالتي، غالبًا بسافر عشان الشغل وقليل لما بسافر عشان أتبسط. بس المرة دي، خالد قرر ياخد يوم يتمشى ويشوف المدينة مع صاحبه الجديد. ,Egyptian
 سأقيم لمدة يومين في بيت جدي القديم. وجدت هناك صندوقاً مليئاً بالذكريات. قضيت الساعات أتصفح الصور والرسائل. شعرت بحنين عميق للأيام التي مضت. , هقعد يومين في بيت جدي القديم. لقيت هناك صندوق مليان بالذكريات. قعدت ساعات بتفرج على الصور والجوابات. حسيت بشوق جامد للأيام اللي فاتت. ,Egyptian
 أرادت ليلى تمويج شعرها بشكل متقارب، فقررت زيارة صالون التجميل المشهور في المدينة. عند وصولها، شرحت للمصففة بالضبط ما تريده. بعد ساعات من العمل، نظرت في المرآة فأعجبها شكل شعرها الجديد. شعرت بالثقة والسعادة، وأصبحت محط الأنظار في كل مكان تذهب إليه. , ليلى عايزة تعمل شعرها كيرلي قريب من بعض، فقررت تروح لكوافير معروف في البلد. لما وصلت، قالت للكوافيرة بالظبط عايزة إيه. بعد كام ساعة شغل، لما شافت نفسها في المراية حبت شكل شعرها الجديد أوي. حست بثقة جامدة وفرحانة، وبقت نجمة في كل حتة تروحها. ,Egyptian
" في يوم مشمس، قرر أحمد وعائلته الذهاب في رحلة إلى البحر. قبل الرحلة بأسبوع، قال أحمد ""أريد حجز غرفتين مزدوجتين"". وجد فندقًا جميلًا يطل على الشاطئ وقام بالحجز. استمتعت العائلة بوقتها، وكانت الإجازة ناجحة. "," في يوم حلو والشمس طالعة، أحمد وعيلته قرروا يروحوا رحلة على البحر. قبل ما يسافروا بأسبوع، أحمد قال ""عايز أحجز اوضتين دوبل"". لقى فندق حلو قدام البحر وعمل الحجز. العيلة فرحوا قوي بوقتهم، والأجازة كانت جميلة أوي. ",Egyptian
 كانت هناك شجرة عملاقة أمام منزل أحمد، وكان يحب الجلوس تحت ظلها كل يوم. لا أريد إزالتها، فهي تحميني من حر الصيف وتمنحني الهواء النقي. جاءت البلدية لإزالة الشجرة بحجة توسعة الطريق، لكن أحمد تصدى لهم بكل قوة. وفي النهاية، نجح في إقناعهم بتغيير مسار الطريق والحفاظ على الشجرة. , كان في شجرة كبيرة قدام بيت أحمد، وكان بيحب يقعد تحت ظلها كل يوم. ما أنا مش عايز أشيلها، دي بتحميني من حر الصيف وبتديني هوا نضيف. البلدية جت عشان تشيل الشجرة بحجة إنهم عايزين يوسعوا الشارع، بس أحمد وقف قدامهم بكل قوته. وفي الآخر، قدر يقنعهم يغيروا مسار الشارع ويسيبوا الشجرة. ,Egyptian
" في أحد الأيام، سأل رجل عجوز عن محطة الحافلة. ""هل هذه الحافلة تتوقف في شارع أستونر؟""، سأل السائق. أومأ السائق برأسه مؤكدًا، ودعا الرجل للصعود. شكر الرجل السائق وجلس ينتظر، متأملاً المناظر الجميلة من النافذة. "," في يوم من الأيام، واحد عجوز سأل عن موقف الأتوبيس. ""الأتوبيس ده بيقف في شارع أستونر؟""، كده سأل السواق. السواق هز دماغه وقاله تعالى اركب. العجوز قال للسواق شكرًا وقعد يستنى وهو بيتفرج على المناظر الحلوة من الشباك. ",Egyptian
 من فضلك افتح فمك على مداه. قال الطبيب ذلك بينما كان يحضر أدواته للفحص. شعر الطفل بالقلق ولكنه أطاع الأمر. بعد الفحص، ابتسم الطبيب مطمئنًا الطفل بأن كل شيء على ما يرام. , من فضلك افتح بؤك على أد ما تقدر. الدكتور قال كده وهو بيجهز الأدوات بتاعته للكشف. الواد حس بخوف شوية بس سمع الكلام. بعد ما خلص الكشف، الدكتور ابتسم وطمنه إن كل حاجة تمام. ,Egyptian
