MSA,Lebanese,lang
 إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني . وعندما عادت، وجدته قد غادر دون أن يودع. شعرت بالحيرة والقلق، فقد كانت تحمل له هديته المفضلة. بدأت تبحث عنه في كل أنحاء المبنى، تنادي اسمه بصوت عالٍ. وأخيرًا، وجدته في الحديقة ينظر إلى النجوم، فابتسمت وقدمت له الهدية. , هيي بآخر الصالة. رح جيبلك شوي منها هلق. إذا بدك شي تاني بس خبرني. ولما رجعت، لقتو ترك المكان من دون ما يودعها. حست بحيرة وقلق، كانت جايبتلو هديتو يللي بيحبا. بلشت تدور عليه بكل أنحاء البناية، بتنادي ع اسمو بصوت عالي. وأخيرًا، لقتو بالحديقة عم يطلع عالنجوم، ابتسمت وعطتو الهدية. ,Lebanese
" في أحد الأيام، كان هناك رجل يعمل في النجارة يسمى أحمد. كان دائمًا يسأل زبائنه ""هل تقومون بعمل تعديلات؟"" ليتأكد من رضاهم عن العمل. في إحدى المرات، أتى زبون طلب تعديل طاولة لتناسب تصميم منزله الجديد. أحمد عمل بجد على التعديل وفي النهاية، أبدى الزبون امتنانه لمهارة أحمد ودقته. "," في يوم من الأيام، كان في رجل نجار اسمو أحمد. دايمًا كان يسأل زباينو ""هل تقومون بعمل تعديلات؟"" ليتأكد إنو راضيين عن الشغل. مرة واحدة، إجا زبون طلب تعديل على طاولة لتناسب بيتو الجديد. أحمد عمل بكل جهده على التعديل وبالنهاية، الزبون عبر عن امتنانو لمهارة أحمد ودقتو. ",Lebanese
 في أحد المطاعم الفاخرة، طلب أحمد وأسرته نريد مائدة بجانب النافذة ليتمتعوا بالمنظر الخلاب. بعد أن جلسوا، بدأت الأسرة بتقديم طلباتهم من قائمة الطعام. أثناء تناولهم الطعام، مرت مجموعة من الطيور الجميلة أمام النافذة، فأضافت جوًا من البهجة على وجبتهم. انتهوا من الأكل وشعروا بالرضا عن تجربتهم الرائعة في هذا المكان. , بواحد من المطاعم الفخمة، أحمد وعيلتو طلبوا منحبا طاولة جنب الشباك ليتمتعوا بالمنظر الحلو. بعد ما قعدوا، العيلة بلشت تطلب طلباتها من قائمة الأكل. وهنن عم ياكلو، مرقت مجموعة من العصافير الحلوة قدام الشباك، وزادت الأجواء فرح. خلصوا الأكل وحسوا برضا كبير عن التجربة المميزة يلي عاشوها بهيدا المكان. ,Lebanese
 هناك، أمام بيت السائح تماما، وقف قط أسود ينظر إليه بفضول. عندما فتح السائح الباب، دخل القط دون تردد. وجد السائح نفسه يبتسم، فقد رأى في عيني القط قصة مغامرات لم تُروَ بعد. ومع مرور الأيام، أصبح القط رفيقه في كل رحلاته ومغامراته. , هونيك، قدام بيت السائح بالزبط، وقف قط أسود عم يطلع فيه بفضول. لما السائح فتح الباب، القط دخل من دون ما يتردد. السائح لاقى حالو عم يبتسم، لأنو شاف بعيون القط حكايات مغامرات ما حدا حكاها لهلق. ومع مرور الأيام، صار القط رفيقو بكل سفراتو ومغمراتو. ,Lebanese
 لم أسمع بهذا العنوان من قبل بالقرب من هنا. سألت الناس في الحي عنه لكن لا أحد يعرفه. قررت البحث عنه في الخرائط القديمة بالمكتبة. وأخيراً، وجدت العنوان مخفياً في إحدى الكتب النادرة. , ما سمعت بهيدا العنوان من قبل قريب من هون. سألت الناس بالحي عنو بس ما حدا عرفو. قررت دور عليه بالخرائط القديمة بالمكتبة. وأخيراً، لقيت العنوان مخبى بوحدة من الكتب النادرة. ,Lebanese
 استمر في السير في هذا الطريق حتى تجد صيدلية. عندما وصل إلى الصيدلية، اكتشف أنها مغلقة. شعر بالإحباط لكنه قرر أن ينتظر. بعد ساعة، فتح الصيدلي الباب واستطاع أن يشتري الدواء. , كمل مشي ع هالطريق لحتى تلاقي صيدلية. لما وصل عالصيدلية، اكتشف إنها مسكرة. حس بالتعب بس قرر يصبر شوي. بعد ساعة، الصيدلي فتح وقدر يشتري الدوا. ,Lebanese
 في أحد أيام الربيع، لاحظت ليلى أن اللون الأخضر بدأ يظهر في كل مكان. قررت أن تشتري فستانًا جديدًا بنفس اللون لتواكب الموضة. وعندما ارتدته في الحفل، لفتت الأنظار إليها بجمالها. ومن ذلك اليوم، أصبح اللون الأخضر لونها المفضل في كل المواسم. , بيوم من أيام الربيع، ليلى لاحظت إنو اللون الأخضر صار موجود بكل محل. قررت تشتري فستان جديد بهاللون لتكون مع الموضة. ولما لبستو بالحفلة، كل الأنظار تحولت عليها من ورا جمالا. ومن هيديك النهارة، الأخضر صار لونا المفضل بكل الفصول. ,Lebanese
 كان خالد يسافر كثيرًا بسبب طبيعة عمله في التجارة الدولية. في إحدى رحلاته، التقى بتاجر من بلد آخر وأصبحا صديقين. في حالتي، غالبًا ما يكون من أجل العمل ونادرًا ما يكون للاستمتاع. لكن هذه المرة، قرر خالد أن يأخذ يومًا للتجول واكتشاف المدينة مع صديقه الجديد. , خالد كان دايمًا عم يسافر كتير بسبب شغله بالتجارة الدولية. بواحدة من سفراتو، تعرف على تاجر من بلد تاني وصاروا أصحاب. بحالتي، أكتر شي بسافر للشغل وقليل للمتعة. بس هالمرة، خالد قرر يخد يوم يتمشى ويستكشف المدينة مع صديقو الجديد. ,Lebanese
 سأقيم لمدة يومين في بيت جدي القديم. وجدت هناك صندوقاً مليئاً بالذكريات. قضيت الساعات أتصفح الصور والرسائل. شعرت بحنين عميق للأيام التي مضت. , رح قعد يومين ببيت جدي القديم. لقيت هونيك صندوق مليان بالذكريات. قضيت ساعات عم بتصفح الصور والرسايل. حسيت بحنين كتير لأيام ما مضت. ,Lebanese
 أرادت ليلى تمويج شعرها بشكل متقارب، فقررت زيارة صالون التجميل المشهور في المدينة. عند وصولها، شرحت للمصففة بالضبط ما تريده. بعد ساعات من العمل، نظرت في المرآة فأعجبها شكل شعرها الجديد. شعرت بالثقة والسعادة، وأصبحت محط الأنظار في كل مكان تذهب إليه. , ليلى بدها تعمل شعرها كيرلي قريب لبعض، فقررت تزور صالون التجميل يلي معروف بالمدينة. لما وصلت، حكت للمصففة شو بدها بالضبط. بعد ساعات من الشغل، طلت بالمراية وعجبها كتير شكل شعرها الجديد. حست بثقة وفرح كبير، وصارت مركز إهتمام وين ما راحت. ,Lebanese
" في يوم مشمس، قرر أحمد وعائلته الذهاب في رحلة إلى البحر. قبل الرحلة بأسبوع، قال أحمد ""أريد حجز غرفتين مزدوجتين"". وجد فندقًا جميلًا يطل على الشاطئ وقام بالحجز. استمتعت العائلة بوقتها، وكانت الإجازة ناجحة. "," بيوم مشمس، أحمد وعيلتو قرروا يروحوا ع رحلة عالبحر. قبل الرحلة بأسبوع، قال أحمد ""بدي حجز غرفتين مزدوجتين"". لقى فندق حلو كتير عالبحر وعمل الحجز. العيلة استمتعوا كتير بوقتن، وكانت العطلة ناجحة. ",Lebanese
 كانت هناك شجرة عملاقة أمام منزل أحمد، وكان يحب الجلوس تحت ظلها كل يوم. لا أريد إزالتها، فهي تحميني من حر الصيف وتمنحني الهواء النقي. جاءت البلدية لإزالة الشجرة بحجة توسعة الطريق، لكن أحمد تصدى لهم بكل قوة. وفي النهاية، نجح في إقناعهم بتغيير مسار الطريق والحفاظ على الشجرة. , كان في شجرة كبيرة قدام بيت أحمد، وكان بحب يقعد تحت ظلها كل يوم. ما بدي شيلها، هيي بتحميني من حر الصيف وبتعطيني هوا نضيف. البلدية جت لتشيل الشجرة على أساس يوسعوا الطريق، بس أحمد وقف بوجهن بكل قوتو. وبالنهاية، قدر يقنعن يغيروا مسار الطريق ويحافظوا عالشجرة. ,Lebanese
" في أحد الأيام، سأل رجل عجوز عن محطة الحافلة. ""هل هذه الحافلة تتوقف في شارع أستونر؟""، سأل السائق. أومأ السائق برأسه مؤكدًا، ودعا الرجل للصعود. شكر الرجل السائق وجلس ينتظر، متأملاً المناظر الجميلة من النافذة. "," بيوم من الأيام، رجل عجوز سأل عن محطة الباص. ""هيدا الباص بيوقف بشارع أستونر؟""، سأل السائق. السائق أشر براسو إيه وطلب منو يركب. العجوز شكر السائق وقعد يستنى، مستمتع بالمناظر الحلوة من الشباك. ",Lebanese
 من فضلك افتح فمك على مداه. قال الطبيب ذلك بينما كان يحضر أدواته للفحص. شعر الطفل بالقلق ولكنه أطاع الأمر. بعد الفحص، ابتسم الطبيب مطمئنًا الطفل بأن كل شيء على ما يرام. , من فضلك افتح تمك على قد ما فيك. الدكتور قال هيك وهو عم بيجهز أدواتو للفحص. الصبي حس بخوف بس طاع الأمر. بعد الفحص، الدكتور ابتسم وطمّن الولد إنو كل شي تمام. ,Lebanese
 كان هناك رجل جائع يسأل عن سعر وجبة الإفطار. فأخبره النادل أن الإفطار يكلف عشرة دنانير. شعر الرجل بالسعادة لأن السعر كان في متناوله. وبعد الإفطار، شكر الرجل النادل وانصرف وهو يشعر بالرضا. , في واحد جوعان سأل عن قيمة الفطور. الجرسون قللو إنو الفطور بعشرة ليرات. الرجال إنبسط لأنو السعر كان منيح الو. وبعد ما فطر، شكر الرجال الجرسون وراح مبسوط. ,Lebanese
" كان هناك شاب يعمل في مكتب الاستعلامات. جاءت سيدة تبدو محتارة فسألها: ""كيف أستطيع مساعدتك؟"" فأجابت السيدة بأنها تبحث عن مكتب الضرائب. ابتسم الشاب وأرشدها إلى المكان المطلوب بكل أدب واحترام. "," كان في شاب عم يشتغل بمكتب الاستعلامات. وصلتلو مدام مبلشة فسألها: ""كيف فيي ساعدك؟"" السيدة جاوبته إنها عم تدور على مكتب الضرائب. الشاب ابتسم وورجاها على وين بكل أدب واحترام. ",Lebanese
 دعنا نأخذ قطعة لنأكلها. ذهب محمد وعلي إلى الحديقة واختارا أجمل تفاحة. قسماها بينهما واستمتعا بطعمها اللذيذ. جلسا تحت الشجرة يتحدثان عن أحلامهم. وتمنيا لو أن كل يوم يمكن أن يكون بهذه البساطة والسعادة. , يلا ناخد قطعة ناكلها. محمد وعلي راحوا عالحديقة واختاروا أطيب تفاحة. قسموها مع بعض واستمتعوا بطعمتها الطيبة. قعدوا تحت الشجرة يحكوا عن أحلامن. وتمنوا لو كل يوم يقدر يكون بهل البساطة والسعادة. ,Lebanese
 في يوم مشمس، قرر خالد الخروج للتنزه في المدينة. اتجه يسارًا عند الناصية الثالثة حيث وجد متجرًا قديمًا لبيع الكتب. دخل المتجر وقضى ساعات يتصفح الكتب النادرة. وفي النهاية، اشترى كتابًا قديمًا يحكي عن تاريخ المدينة. , بيوم مشمس، خالد قرر يطلع يتمشى بالمدينة. مشى عاليسار عند الزاوية التالتة ولقى دكان كتب قديم. دخل عالدكان وضلّ يتفرج عالكتب العتيقة لساعات. وبالآخر، اشترى كتاب قديم بيحكي عن تاريخ المدينة. ,Lebanese
" لم يكن لدى أحمد غير قميص واحد للحفل، فسأل والدته: ""هل لك أن تقوم بتنظيف هذه الملابس؟"" وافقت والدته بحنان وأخذت الملابس لتنظفها. بعد ساعات، عادت الملابس ناصعة كأنها جديدة. شعر أحمد بالامتنان ووعد بأن يعتني بملابسه أكثر في المستقبل. "," أحمد ما كان عندو غير قميص واحد للعرس، فسأل أمه: ""فيكي تنظفيلي هالثياب؟"" أمه وافقت بحنان وأخدت الثياب تنظفهن. بعد شي ساعات، رجعت الثياب ناصعة كأنها جديدة. أحمد حس بالامتنان ووعد إنو رح يهتم بثيابو أكتر بالمستقبل. ",Lebanese
 في يوم مشمس، قرر أحمد أن يبحث عن صديق قديم. وجد في دفتره العنوان ورقم الهاتف الذي كان يبحث عنه. لم يتردد في الاتصال وسأل إن كان بإمكانه زيارته، فأعطيك رقم تليفونه وعنوانه. وعندما التقيا، أمضيا وقتًا ممتعًا يستعيدان ذكريات الماضي. , بيوم مشمس حلو، أحمد قرر يدور على صاحبو القديم. لقى بمفكرتو العنوان ورقم التلفون يللي كان عم يدور عليه. ما تردد واتصل فيه وسألو إذا بيقدر يزورو، وعطاه رقم تليفونو وعنوانو. ولما التقوا، قضوا وقت حلو بيسترجعوا ذكريات الماضي. ,Lebanese
 لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماً. وعند وصولي إلى الفندق، استقبلني الموظفون بحفاوة بالغة. أخذت مفتاح غرفتي وصعدت إلى الطابق الخامس حيث الإطلالة الساحرة على البحر. قضيت وقتاً ممتعاً في الفندق حيث الخدمات المتميزة والجو الودي. , دفعت مصاري الأكل والفندق مقدماً. ولما وصلت عالفندق، العالم هنيك استقبلوني بكتير ترحاب. أخدت مفتاح غرفتي وطلعت عالطابق الخامس يللي فيه منظر رائع للبحر. قضيت وقت حلو بالفندق مع خدمة ممتازة وجو حلو. ,Lebanese
