MSA,Saudi,lang
 إنها في أخر القاعة . سوف آتي لك ببعض منها الآن . إذا أردت أي شيئاً آخر فقط أعلمني . وعندما عادت، وجدته قد غادر دون أن يودع. شعرت بالحيرة والقلق، فقد كانت تحمل له هديته المفضلة. بدأت تبحث عنه في كل أنحاء المبنى، تنادي اسمه بصوت عالٍ. وأخيرًا، وجدته في الحديقة ينظر إلى النجوم، فابتسمت وقدمت له الهدية. , هي في آخر القاعة. بجيب لك شوي منها الحين. إذا تبغى شيء ثاني بس قل لي. ويوم رجعت، لقته مشى من دون ما يسلم عليها. حست بحيرة وقلق، كانت جايبة له هديته المفضلة. بدت تدور عليه في كل أرجاء المبنى، تنادي اسمه بصوت عالي. وأخيرًا، لقته في الحديقة يناظر النجوم، ابتسمت وأعطته الهدية. ,Saudi
" في أحد الأيام، كان هناك رجل يعمل في النجارة يسمى أحمد. كان دائمًا يسأل زبائنه ""هل تقومون بعمل تعديلات؟"" ليتأكد من رضاهم عن العمل. في إحدى المرات، أتى زبون طلب تعديل طاولة لتناسب تصميم منزله الجديد. أحمد عمل بجد على التعديل وفي النهاية، أبدى الزبون امتنانه لمهارة أحمد ودقته. "," في يوم من الايام، كان فيه واحد نجار اسمه أحمد. دايم كان يسأل عملائه ""هل تقومون بعمل تعديلات؟"" عشان يتأكد إنهم راضين عن الشغل. في مره جا عميل طلب يعدل في طاولة عشان تناسب بيته الجديد. أحمد شغل فيها بكل اجتهاد وفي الأخير، العميل شكره على مهارته ودقته. ",Saudi
 في أحد المطاعم الفاخرة، طلب أحمد وأسرته نريد مائدة بجانب النافذة ليتمتعوا بالمنظر الخلاب. بعد أن جلسوا، بدأت الأسرة بتقديم طلباتهم من قائمة الطعام. أثناء تناولهم الطعام، مرت مجموعة من الطيور الجميلة أمام النافذة، فأضافت جوًا من البهجة على وجبتهم. انتهوا من الأكل وشعروا بالرضا عن تجربتهم الرائعة في هذا المكان. , في واحد من المطاعم الفاخرة، أحمد وعائلته طلبوا نبغى طاولة عند النافذة عشان يستمتعون بالمنظر الجميل. بعد ما جلسوا، العائلة بدت تطلب من القائمة. وهم يأكلون، مرت مجموعة من الطيور الحلوة قدام النافذة وزادت من جمال الأكل. خلصوا الأكل وهم مبسوطين بالتجربة الحلوة اللي عاشوها هناك. ,Saudi
 هناك، أمام بيت السائح تماما، وقف قط أسود ينظر إليه بفضول. عندما فتح السائح الباب، دخل القط دون تردد. وجد السائح نفسه يبتسم، فقد رأى في عيني القط قصة مغامرات لم تُروَ بعد. ومع مرور الأيام، أصبح القط رفيقه في كل رحلاته ومغامراته. , هناك، قدام بيت السائح بالضبط، وقف قط أسود يناظر فيه بفضول. يوم السائح فتح الباب، دخل القط بدون تردد. السائح لقى نفسه يبتسم، لأنه شاف في عيون القط قصص مغامرات ما تمت سردها. ومع الأيام، صار القط صديقه في كل رحلاته ومغامراته. ,Saudi
 لم أسمع بهذا العنوان من قبل بالقرب من هنا. سألت الناس في الحي عنه لكن لا أحد يعرفه. قررت البحث عنه في الخرائط القديمة بالمكتبة. وأخيراً، وجدت العنوان مخفياً في إحدى الكتب النادرة. , ما سمعت بهالعنوان من قبل هنا حولينا. سألت الناس في الحارة عنه بس ماحد عرفه. قررت أدور عليه في الخرائط القديمة اللي في المكتبة. وأخيراً، لقيت العنوان مستخبي في واحد من الكتب النادرة. ,Saudi
 استمر في السير في هذا الطريق حتى تجد صيدلية. عندما وصل إلى الصيدلية، اكتشف أنها مغلقة. شعر بالإحباط لكنه قرر أن ينتظر. بعد ساعة، فتح الصيدلي الباب واستطاع أن يشتري الدواء. , استمر بالمشي على هذا الطريق حتى تلقى صيدلية. لما وصل للصيدلية، اكتشف أنها مقفلة. حس بالإحباط بس قرر ينتظر. بعد ساعة، فتح الصيدلي الباب وتمكن من شراء الدواء. ,Saudi
 في أحد أيام الربيع، لاحظت ليلى أن اللون الأخضر بدأ يظهر في كل مكان. قررت أن تشتري فستانًا جديدًا بنفس اللون لتواكب الموضة. وعندما ارتدته في الحفل، لفتت الأنظار إليها بجمالها. ومن ذلك اليوم، أصبح اللون الأخضر لونها المفضل في كل المواسم. , في يوم من أيام الربيع، لاحظت ليلى إن اللون الأخضر صار شائع في كل مكان. قررت تشتري فستان جديد بهذا اللون عشان تكون على الموضة. ويوم لبسته في العرس، الكل صار يطالع فيها من جمالها. ومن ذاك اليوم، اللون الأخضر صار اللون المفضل لها في جميع الفصول. ,Saudi
 كان خالد يسافر كثيرًا بسبب طبيعة عمله في التجارة الدولية. في إحدى رحلاته، التقى بتاجر من بلد آخر وأصبحا صديقين. في حالتي، غالبًا ما يكون من أجل العمل ونادرًا ما يكون للاستمتاع. لكن هذه المرة، قرر خالد أن يأخذ يومًا للتجول واكتشاف المدينة مع صديقه الجديد. , خالد دايم يسافر كثير بسبب عمله في التجارة الدولية. في وحدة من رحلاته، تعرف على تاجر من دولة ثانية وصاروا أصدقاء. في حالتي، أغلب الوقت أسافر للعمل ونادرًا للمتعة. لكن هالمرة، خالد قرر ياخذ يوم يتمشى ويكتشف المدينة مع صاحبه الجديد. ,Saudi
 سأقيم لمدة يومين في بيت جدي القديم. وجدت هناك صندوقاً مليئاً بالذكريات. قضيت الساعات أتصفح الصور والرسائل. شعرت بحنين عميق للأيام التي مضت. , بأقعد يومين في بيت جدي القديم. لقيت هناك صندوق مليان بالذكريات. قضيت ساعات أشوف الصور والخطابات. حسيت بشوق كبير للأيام اللي راحت. ,Saudi
 أرادت ليلى تمويج شعرها بشكل متقارب، فقررت زيارة صالون التجميل المشهور في المدينة. عند وصولها، شرحت للمصففة بالضبط ما تريده. بعد ساعات من العمل، نظرت في المرآة فأعجبها شكل شعرها الجديد. شعرت بالثقة والسعادة، وأصبحت محط الأنظار في كل مكان تذهب إليه. , ليلى تبغى تسوي شعرها كيرلي متقارب، قررت تروح لصالون التجميل المشهور بالمدينة. لما وصلت، وضحت للكوافيرة بالضبط اللي تبغى. بعد ساعات من العمل، شافت شعرها بالمراية وعجبها كثير شكله الجديد. حست بثقة وسعادة، وصارت محط الأنظار في كل مكان تروح له. ,Saudi
