MSA,Syrian,lang
" ذهب خالد إلى المطعم وطلب محار الصخر. بعد لحظات من التفكير، سأل النادل ""هل لازال متاح لي أن أغير طلبي؟ أفضل سمك موسى بدلا من محار الصخر."" ابتسم النادل وأكد له أنه يمكن تغيير الطلب. شعر خالد بالسعادة وتطلع لتذوق سمك موسى الشهي. "," خالد راح ع المطعم وطلب محار الصخر. بعد شوي من التفكير، سأل النادل ""بقدر غير طلبيتي لو سمحت؟ بفضل سمك موسى على محار الصخر."" النادل ضحك وقلو إنو مافي مشكلة يغير. خالد استانس وصار ينطر سمك موسى بحماس. ",Syrian
" في يوم حار من أيام الصيف، دخل العم أحمد متجر الصرافة حاملاً يداً من الدولارات. طلب من الصراف تحويلها إلى جنيهات مصرية قائلاً ""من فضلك غير هذه الينات إلى جنيهات"". بابتسامته المعهودة، قام الصراف بعملية التحويل بسرعة وكفاءة. شكر العم أحمد الصراف وخرج من المتجر وقد ارتسمت على وجهه ابتسامة الرضا. "," بنهار حار من أيام الصيف، عمو أحمد دخل لمكتب الصيرفة شايل معو حزمة من الدولارات. قال للصراف ""لو سمحت غيرلي هل الدولارات لليرات"". الصراف بابتسامتو يلي منعرفها، ساوى عملية التصريف بسرعة ومهارة. عمو أحمد شكر الصراف وطلع من المكتب وعلى وجهو ابتسامة الرضى. ",Syrian
 أجرى الطبيب عملية استئصال الزائدة الدودية بنجاح. بعد العملية، استراح المريض في غرفته وكانت حالته تتحسن تدريجيًا. خلال فترة التعافي، حرص الطاقم الطبي على رعايته بشكل ممتاز. وأخيرًا، غادر المريض المستشفى بصحة جيدة وشعور بالامتنان العميق. , الدكتور عمل عملية استئصال الزائدة الدودية بنجاح. بعد ما انتهت العملية، المريض استراح بغرفتو وصارت حالتو تتحسن تدريجياً. خلال فترة النقاهة، الفريق الطبي اهتمو فيو كتير منيح. وبالأخير، طلع المريض من المشفى بصحة جيدة ومتشكر كتير. ,Syrian
 ذهب محمد إلى المستشفى ليستلم فواتير علاجه الطبي. سأل الطبيب إذا ما كانت الفواتير تشمل كل التفاصيل. أكد الطبيب أن كل شيء موثق بدقة. شعر محمد بالارتياح لأنه سيتمكن من تقديم الوثائق لشركة التأمين. , محمد راح عالمشفى ليستلم فواتير العلاج تبعو. سأل الدكتور إذا كانت الفواتير فيها كل التفاصيل. الدكتور أكدلو إنو كل شي موثق بالزبط. محمد حس براحة لأنو رح يقدر يورجي الأوراق لشركة التأمين. ,Syrian
 كان أحمد يبحث عن قاموس جيب في المكتبة ليساعده في دراسته للغة الإنجليزية. وجد واحدًا مناسبًا، فقد كان صغيرًا وعمليًا. دفع ثمن القاموس وشعر بسعادة لأنه سيكون مفيدًا في رحلته القادمة. استعمله كل يوم وتحسنت لغته الإنجليزية بشكل ملحوظ. , أحمد كان عم يدور على قاموس جيب بالمكتبة ليساعده بدراستو للإنكليزي. لقى واحد منيح، صغير وعملي. دفع مصاري وفرح لأنو رح يستفيد منو بسفرتو الجاي. استخدمو كل يوم وتحسنت لغتو الإنكليزية كتير. ,Syrian
 حسناً، أنا لا أعلم ماذا حدث بالضبط، ولكن يبدو أن القط قد تسلق الشجرة ولم يستطع النزول. استدعينا رجال الإطفاء لمساعدته. وبعد جهود حثيثة، تمكنوا من إنقاذه. شكرتهم كثيرًا لأنهم أعادوا القط إلى أرض الأمان. , طيب، أنا ما بعرف شو صار بالضبط، بس شكلها القطة طلعت على الشجرة وما قدرت تنزل. استدعينا رجال الإطفاء ليساعدوها. وبعد جهد جهيد، قدروا ينقذوها. شكرتهم كتير لأنهم رجعوا القطة للأمان. ,Syrian
 مبروك، علمت أنه قد تم ترقيتك إلى نائب رئيس. في يوم الترقية، استعد خالد بكل حماس ليذهب إلى العمل. وعند وصوله، استقبله زملاؤه بالتصفيق والتهاني. شعر بالفخر والسعادة لهذا الإنجاز، وعزم على مواصلة العمل بجد وإخلاص. , مبروك، سمعت إنك ترقيت لمساعد الرئيس. بيوم الترقية، خليل استعد بكل حماس ليروح على شغله. لما وصل، زملاؤه استقبلوه بتصفيق ومباركات. حس بالفخر والفرح لهالإنجاز، وقرر يكمل شغله بجهد ووفاء. ,Syrian
 مساء بعد غد، سيعقد القرية احتفالاً كبيراً يشمل الألعاب النارية والرقص. وسيجتمع الناس من كل أنحاء المنطقة لمشاركة الفرح والمأكولات التقليدية. ستقدم الفرق الموسيقية عروضاً حية، وستكون الموسيقى ساحرة تملأ الأجواء. وبينما تغرب الشمس، ستضاء السماء بألوان الألعاب النارية، معلنة نهاية يوم لا يُنسى. , مسا بعد بكرا، القرية رح تعمل عيد كبير فيه الألعاب النارية والرقص. الناس رح يجوا من كل المناطق ليشاركوا الفرح وياكلوا الأكل التراثي. الفرق الموسيقية رح تقدم عروض حية، والموسيقى رح تكون ساحرة تملي الأجواء. ولما تغرب الشمس، السما رح تنور بألوان الألعاب النارية، وتعلن نهاية يوم ما بينتسى. ,Syrian
 في جنوب اليابان حيث البحار الدافئة، يوجد صياد قديم يعيش وحيدًا في بيت صغير. كل صباح، يأخذ قاربه الخشبي الصغير ويبحر بحثًا عن الأسماك. يتميز بالصبر والهدوء، ويعتبر البحر صديقه الوحيد. في المساء، يعود إلى قريته حاملاً ما اصطاده، ويشارك قصص البحر مع الأطفال. , بجنوب اليابان وين البحر دافي، في صياد عجوز عايش لحالو ببيت صغير. كل صبح، بياخد قاربو الخشبي الصغير وبيطلع عالبحر يدور على السمك. بيتصف بالصبر والهدوء، وبشوف البحر صاحبو الوحيد. بالمسا، بيرجع على قريتو معبي شبكتو باللي صاد، وبيقلل الأولاد حكايات البحر. ,Syrian
 اشترى أحمد تذكرة ذهاب وعودة إلى شيكاغو لحضور مؤتمر علمي. وصل إلى المدينة واستمتع بزيارة المعالم الشهيرة. التقى هناك بباحثين من مختلف دول العالم. عاد إلى وطنه مليئاً بالأفكار والخبرات الجديدة. , أحمد اشترى تذكرة ذهاب وعودة لشيكاغو ليشارك بمؤتمر علمي. وصل على المدينة واستمتع بزيارة أهم الأماكن. تعرف على علماء من كل العالم. رجع لبلده معبى بالأفكار والتجارب الجديدة. ,Syrian
